1XBA,1XBCA,1XBCD,1XBCH,1XBD,1XBH,ABP,AC,AF,AFKC,AG,AHCh,AHW,AHh,AO,AR,AS,AST,AT,AY,Attendance,Avg<2.5,Avg>2.5,AvgA,AvgAHA,AvgAHH,AvgC<2.5,AvgC>2.5,AvgCA,AvgCAHA,AvgCAHH,AvgCD,AvgCH,AvgD,AvgH,Away,AwayTeam,B365<2.5,B365>2.5,B365A,B365AH,B365AHA,B365AHH,B365C<2.5,B365C>2.5,B365CA,B365CAHA,B365CAHH,B365CD,B365CH,B365D,B365H,B36CA,BFA,BFCA,BFCD,BFCH,BFD,BFDA,BFDCA,BFDCD,BFDCH,BFDD,BFDH,BFE<2.5,BFE>2.5,BFEA,BFEAHA,BFEAHH,BFEC<2.5,BFEC>2.5,BFECA,BFECAHA,BFECAHH,BFECD,BFECH,BFED,BFEH,BFH,BMGMA,BMGMCA,BMGMCD,BMGMCH,BMGMD,BMGMH,BSA,BSD,BSH,BVA,BVCA,BVCD,BVCH,BVD,BVH,BWA,BWCA,BWCD,BWCH,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,CLA,CLCA,CLCD,CLCH,CLD,CLH,Date,Div,FTAG,FTHG,FTR,GB<2.5,GB>2.5,GBA,GBAH,GBAHA,GBAHH,GBD,GBH,HBP,HC,HF,HFKC,HG,HHW,HO,HR,HS,HST,HT,HTAG,HTHG,HTR,HY,Home,HomeTeam,IWA,IWCA,IWCD,IWCH,IWD,IWH,LB,LB.1,LB.2,LBA,LBAH,LBAHA,LBAHH,LBCA,LBCD,LBCH,LBD,LBH,League,Max<2.5,Max>2.5,MaxA,MaxAHA,MaxAHH,MaxC<2.5,MaxC>2.5,MaxCA,MaxCAHA,MaxCAHH,MaxCD,MaxCH,MaxD,MaxH,P<2.5,P>2.5,PAHA,PAHH,PC<2.5,PC>2.5,PCAHA,PCAHH,PSA,PSCA,PSCD,PSCH,PSD,PSH,Referee,Res,SBA,SBD,SBH,SJA,SJD,SJH,SOA,SOD,SOH,SYA,SYD,SYH,Season,Time,Unnamed: 10,Unnamed: 105,Unnamed: 106,Unnamed: 11,Unnamed: 119,Unnamed: 12,Unnamed: 120,Unnamed: 121,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 7,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 8,Unnamed: 9,VCA,VCCA,VCCD,VCCH,VCD,VCH,WHA,WHCA,WHCD,WHCH,WHD,WHH,ï»¿Country,ï»¿Div
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,4.74,,,3.3,1.76,,,Union de Santa Fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/08/2012,,,,,,,,,,,,,,,,,1,,,,,,,,,,,Arsenal Sarandi,,,,,,,,,,,,,,,,,,,,Torneo De La Liga Profesional ,,,,,,,,5.68,,,3.5,1.9,,,,,,,,,,,,5.03,3.39,1.9,,,,H,,,,,,,,,,,,,2012/2013,23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3.96,,,3.12,1.97,,,Argentinos Jrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/08/2012,,,,,,,,,,,,,,,,,3,,,,,,,,,,,Velez Sarsfield,,,,,,,,,,,,,,,,,,,,Torneo De La Liga Profesional ,,,,,,,,4.62,,,3.3,2.18,,,,,,,,,,,,4.55,3.24,2.0,,,,H,,,,,,,,,,,,,2012/2013,01:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4.05,,,3.22,1.91,,,Atl. Rafaela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/08/2012,,,,,,,,,,,,,,,,,1,,,,,,,,,,,Racing Club,,,,,,,,,,,,,,,,,,,,Torneo De La Liga Profesional ,,,,,,,,5.09,,,3.4,2.0,,,,,,,,,,,,5.09,3.34,1.91,,,,D,,,,,,,,,,,,,2012/2013,18:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3.04,,,2.99,2.39,,,Lanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/08/2012,,,,,,,,,,,,,,,,,1,,,,,,,,,,,Colon Santa FE,,,,,,,,,,,,,,,,,,,,Torneo De La Liga Profesional ,,,,,,,,3.36,,,3.16,2.54,,,,,,,,,,,,3.27,3.16,2.5,,,,H,,,,,,,,,,,,,2012/2013,20:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2.38,,,2.99,3.07,,,Boca Juniors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/08/2012,,,,,,,,,,,,,,,,,3,,,,,,,,,,,Quilmes,,,,,,,,,,,,,,,,,,,,Torneo De La Liga Profesional ,,,,,,,,2.58,,,3.13,3.37,,,,,,,,,,,,2.58,3.13,3.18,,,,H,,,,,,,,,,,,,2012/2013,22:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,4.05,,,3.23,1.92,,,Independiente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/08/2012,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Newells Old Boys,,,,,,,,,,,,,,,,,,,,Torneo De La Liga Profesional ,,,,,,,,4.71,,,3.39,2.0,,,,,,,,,,,,4.59,3.35,1.96,,,,D,,,,,,,,,,,,,2012/2013,00:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3.39,,,3.08,2.18,,,All Boys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/08/2012,,,,,,,,,,,,,,,,,1,,,,,,,,,,,Godoy Cruz,,,,,,,,,,,,,,,,,,,,Torneo De La Liga Profesional ,,,,,,,,3.92,,,3.23,2.4,,,,,,,,,,,,3.78,3.23,2.22,,,,D,,,,,,,,,,,,,2012/2013,19:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4.23,,,3.18,1.89,,,San Martin S.J.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/08/2012,,,,,,,,,,,,,,,,,2,,,,,,,,,,,San Lorenzo,,,,,,,,,,,,,,,,,,,,Torneo De La Liga Profesional ,,,,,,,,5.17,,,3.3,1.95,,,,,,,,,,,,5.17,3.25,1.91,,,,H,,,,,,,,,,,,,2012/2013,21:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
,,,,,,,,,,2,,,,,,,,,,,,,,,,,,4.21,,,3.19,1.88,,,Belgrano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/08/2012,,,,,,,,,,,,,,,,,1,,,,,,,,,,,River Plate,,,,,,,,,,,,,,,,,,,,Torneo De La Liga Profesional ,,,,,,,,4.9,,,3.4,2.0,,,,,,,,,,,,4.74,3.39,1.93,,,,A,,,,,,,,,,,,,2012/2013,23:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
,,,,,,,,,,2,,,,,,,,,,,,,,,,,,3.1,,,3.04,2.33,,,Estudiantes L.P.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/08/2012,,,,,,,,,,,,,,,,,1,,,,,,,,,,,Tigre,,,,,,,,,,,,,,,,,,,,Torneo De La Liga Profesional ,,,,,,,,3.47,,,3.24,2.5,,,,,,,,,,,,3.26,3.16,2.5,,,,A,,,,,,,,,,,,,2012/2013,00:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2.54,,,2.97,2.84,,,Colon Santa FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/08/2012,,,,,,,,,,,,,,,,,0,,,,,,,,,,,San Martin S.J.,,,,,,,,,,,,,,,,,,,,Torneo De La Liga Profesional ,,,,,,,,2.86,,,3.21,3.27,,,,,,,,,,,,2.86,3.21,2.79,,,,A,,,,,,,,,,,,,2012/2013,23:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3.3,,,3.0,2.25,,,Newells Old Boys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/08/2012,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Lanus,,,,,,,,,,,,,,,,,,,,Torneo De La Liga Profesional ,,,,,,,,3.6,,,3.19,2.35,,,,,,,,,,,,3.56,3.19,2.31,,,,A,,,,,,,,,,,,,2012/2013,01:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
,,,,,,,,,,2,,,,,,,,,,,,,,,,,,3.1,,,3.0,2.35,,,River Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/08/2012,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Estudiantes L.P.,,,,,,,,,,,,,,,,,,,,Torneo De La Liga Profesional ,,,,,,,,3.46,,,3.11,2.47,,,,,,,,,,,,3.46,3.11,2.44,,,,A,,,,,,,,,,,,,2012/2013,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2.91,,,2.95,2.5,,,Quilmes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/08/2012,,,,,,,,,,,,,,,,,1,,,,,,,,,,,All Boys,,,,,,,,,,,,,,,,,,,,Torneo De La Liga Profesional ,,,,,,,,3.17,,,3.11,2.65,,,,,,,,,,,,3.06,3.11,2.65,,,,D,,,,,,,,,,,,,2012/2013,20:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
