1XBA,1XBCA,1XBCD,1XBCH,1XBD,1XBH,ABP,AC,AF,AFKC,AG,AHCh,AHW,AHh,AO,AR,AS,AST,AT,AY,Attendance,Avg<2.5,Avg>2.5,AvgA,AvgAHA,AvgAHH,AvgC<2.5,AvgC>2.5,AvgCA,AvgCAHA,AvgCAHH,AvgCD,AvgCH,AvgD,AvgH,Away,AwayTeam,B365<2.5,B365>2.5,B365A,B365AH,B365AHA,B365AHH,B365C<2.5,B365C>2.5,B365CA,B365CAHA,B365CAHH,B365CD,B365CH,B365D,B365H,B36CA,BFA,BFCA,BFCD,BFCH,BFD,BFDA,BFDCA,BFDCD,BFDCH,BFDD,BFDH,BFE<2.5,BFE>2.5,BFEA,BFEAHA,BFEAHH,BFEC<2.5,BFEC>2.5,BFECA,BFECAHA,BFECAHH,BFECD,BFECH,BFED,BFEH,BFH,BMGMA,BMGMCA,BMGMCD,BMGMCH,BMGMD,BMGMH,BSA,BSD,BSH,BVA,BVCA,BVCD,BVCH,BVD,BVH,BWA,BWCA,BWCD,BWCH,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,CLA,CLCA,CLCD,CLCH,CLD,CLH,Date,Div,FTAG,FTHG,FTR,GB<2.5,GB>2.5,GBA,GBAH,GBAHA,GBAHH,GBD,GBH,HBP,HC,HF,HFKC,HG,HHW,HO,HR,HS,HST,HT,HTAG,HTHG,HTR,HY,Home,HomeTeam,IWA,IWCA,IWCD,IWCH,IWD,IWH,LB,LB.1,LB.2,LBA,LBAH,LBAHA,LBAHH,LBCA,LBCD,LBCH,LBD,LBH,League,Max<2.5,Max>2.5,MaxA,MaxAHA,MaxAHH,MaxC<2.5,MaxC>2.5,MaxCA,MaxCAHA,MaxCAHH,MaxCD,MaxCH,MaxD,MaxH,P<2.5,P>2.5,PAHA,PAHH,PC<2.5,PC>2.5,PCAHA,PCAHH,PSA,PSCA,PSCD,PSCH,PSD,PSH,Referee,Res,SBA,SBD,SBH,SJA,SJD,SJH,SOA,SOD,SOH,SYA,SYD,SYH,Season,Time,Unnamed: 10,Unnamed: 105,Unnamed: 106,Unnamed: 11,Unnamed: 119,Unnamed: 12,Unnamed: 120,Unnamed: 121,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 7,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 8,Unnamed: 9,VCA,VCCA,VCCD,VCCH,VCD,VCH,WHA,WHCA,WHCD,WHCH,WHD,WHH,ï»¿Country,ï»¿Div
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5.0,,,3.68,1.66,,,Djurgarden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/03/2012,,,,,,,,,,,,,,,,,2,,,,,,,,,,,Elfsborg,,,,,,,,,,,,,,,,,,,,Allsvenskan,,,,,,,,5.5,,,3.98,1.73,,,,,,,,,,,,5.44,3.98,1.71,,,,H,,,,,,,,,,,,,2012,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3.11,,,3.24,2.25,,,Hacken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/03/2012,,,,,,,,,,,,,,,,,0,,,,,,,,,,,GAIS,,,,,,,,,,,,,,,,,,,,Allsvenskan,,,,,,,,3.5,,,3.57,2.5,,,,,,,,,,,,3.48,3.57,2.21,,,,D,,,,,,,,,,,,,2012,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden,
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2.62,,,3.14,2.64,,,Kalmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/03/2012,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Sundsvall,,,,,,,,,,,,,,,,,,,,Allsvenskan,,,,,,,,2.82,,,3.31,2.75,,,,,,,,,,,,2.8,2.39,2.72,,,,A,,,,,,,,,,,,,2012,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,4.99,,,3.43,1.71,,,Mjallby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/04/2012,,,,,,,,,,,,,,,,,0,,,,,,,,,,,AIK,,,,,,,,,,,,,,,,,,,,Allsvenskan,,,,,,,,5.75,,,3.63,1.75,,,,,,,,,,,,5.73,3.63,1.75,,,,D,,,,,,,,,,,,,2012,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden,
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1.77,,,3.41,4.63,,,Goteborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/04/2012,,,,,,,,,,,,,,,,,2,,,,,,,,,,,Syrianska,,,,,,,,,,,,,,,,,,,,Allsvenskan,,,,,,,,1.89,,,3.65,5.01,,,,,,,,,,,,1.87,3.49,5.01,,,,H,,,,,,,,,,,,,2012,16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,8.15,,,4.33,1.39,,,Gefle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/04/2012,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Malmo FF,,,,,,,,,,,,,,,,,,,,Allsvenskan,,,,,,,,9.66,,,4.97,1.45,,,,,,,,,,,,9.56,4.97,1.4,,,,D,,,,,,,,,,,,,2012,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden,
,,,,,,,,,,4,,,,,,,,,,,,,,,,,,3.51,,,3.2,2.1,,,Atvidabergs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/04/2012,,,,,,,,,,,,,,,,,3,,,,,,,,,,,Orebro,,,,,,,,,,,,,,,,,,,,Allsvenskan,,,,,,,,4.0,,,3.5,2.29,,,,,,,,,,,,3.85,3.19,2.22,,,,A,,,,,,,,,,,,,2012,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2.0,,,3.34,3.63,,,Helsingborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/04/2012,,,,,,,,,,,,,,,,,1,,,,,,,,,,,Norrkoping,,,,,,,,,,,,,,,,,,,,Allsvenskan,,,,,,,,2.09,,,3.67,3.91,,,,,,,,,,,,2.09,3.67,3.72,,,,H,,,,,,,,,,,,,2012,18:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden,
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2.54,,,3.21,2.68,,,GAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/04/2012,,,,,,,,,,,,,,,,,2,,,,,,,,,,,Atvidabergs,,,,,,,,,,,,,,,,,,,,Allsvenskan,,,,,,,,2.7,,,3.43,2.93,,,,,,,,,,,,2.63,3.43,2.87,,,,H,,,,,,,,,,,,,2012,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden,
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3.64,,,3.27,2.02,,,Syrianska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/04/2012,,,,,,,,,,,,,,,,,1,,,,,,,,,,,Gefle,,,,,,,,,,,,,,,,,,,,Allsvenskan,,,,,,,,4.25,,,3.4,2.19,,,,,,,,,,,,3.9,3.34,2.14,,,,D,,,,,,,,,,,,,2012,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden,
