1XBA,1XBCA,1XBCD,1XBCH,1XBD,1XBH,ABP,AC,AF,AFKC,AG,AHCh,AHW,AHh,AO,AR,AS,AST,AT,AY,Attendance,Avg<2.5,Avg>2.5,AvgA,AvgAHA,AvgAHH,AvgC<2.5,AvgC>2.5,AvgCA,AvgCAHA,AvgCAHH,AvgCD,AvgCH,AvgD,AvgH,Away,AwayTeam,B365<2.5,B365>2.5,B365A,B365AH,B365AHA,B365AHH,B365C<2.5,B365C>2.5,B365CA,B365CAHA,B365CAHH,B365CD,B365CH,B365D,B365H,B36CA,BFA,BFCA,BFCD,BFCH,BFD,BFDA,BFDCA,BFDCD,BFDCH,BFDD,BFDH,BFE<2.5,BFE>2.5,BFEA,BFEAHA,BFEAHH,BFEC<2.5,BFEC>2.5,BFECA,BFECAHA,BFECAHH,BFECD,BFECH,BFED,BFEH,BFH,BMGMA,BMGMCA,BMGMCD,BMGMCH,BMGMD,BMGMH,BSA,BSD,BSH,BVA,BVCA,BVCD,BVCH,BVD,BVH,BWA,BWCA,BWCD,BWCH,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,CLA,CLCA,CLCD,CLCH,CLD,CLH,Date,Div,FTAG,FTHG,FTR,GB<2.5,GB>2.5,GBA,GBAH,GBAHA,GBAHH,GBD,GBH,HBP,HC,HF,HFKC,HG,HHW,HO,HR,HS,HST,HT,HTAG,HTHG,HTR,HY,Home,HomeTeam,IWA,IWCA,IWCD,IWCH,IWD,IWH,LB,LB.1,LB.2,LBA,LBAH,LBAHA,LBAHH,LBCA,LBCD,LBCH,LBD,LBH,League,Max<2.5,Max>2.5,MaxA,MaxAHA,MaxAHH,MaxC<2.5,MaxC>2.5,MaxCA,MaxCAHA,MaxCAHH,MaxCD,MaxCH,MaxD,MaxH,P<2.5,P>2.5,PAHA,PAHH,PC<2.5,PC>2.5,PCAHA,PCAHH,PSA,PSCA,PSCD,PSCH,PSD,PSH,Referee,Res,SBA,SBD,SBH,SJA,SJD,SJH,SOA,SOD,SOH,SYA,SYD,SYH,Season,Time,Unnamed: 10,Unnamed: 105,Unnamed: 106,Unnamed: 11,Unnamed: 119,Unnamed: 12,Unnamed: 120,Unnamed: 121,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 7,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 8,Unnamed: 9,VCA,VCCA,VCCD,VCCH,VCD,VCH,WHA,WHCA,WHCD,WHCH,WHD,WHH,ï»¿Country,ï»¿Div
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1.59,,,3.85,5.32,,,Basel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/07/2012,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Servette,,,,,,,,,,,,,,,,,,,,Super League,,,,,,,,1.68,,,4.2,6.22,,,,,,,,,,,,1.6,4.17,6.22,,,,A,,,,,,,,,,,,,2012/2013,18:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,4.85,,,3.51,1.7,,,Lausanne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/07/2012,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Thun,,,,,,,,,,,,,,,,,,,,Super League,,,,,,,,5.38,,,3.81,1.77,,,,,,,,,,,,5.23,3.8,1.75,,,,D,,,,,,,,,,,,,2012/2013,18:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,
,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2.25,,,3.24,3.07,,,Sion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/07/2012,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Grasshoppers,,,,,,,,,,,,,,,,,,,,Super League,,,,,,,,2.41,,,3.41,3.35,,,,,,,,,,,,2.39,3.36,3.27,,,,A,,,,,,,,,,,,,2012/2013,12:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3.31,,,3.33,2.1,,,Zurich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/07/2012,,,,,,,,,,,,,,,,,1,,,,,,,,,,,Luzern,,,,,,,,,,,,,,,,,,,,Super League,,,,,,,,3.89,,,3.8,2.2,,,,,,,,,,,,3.89,3.65,2.04,,,,D,,,,,,,,,,,,,2012/2013,12:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2.06,,,3.43,3.32,,,Young Boys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/07/2012,,,,,,,,,,,,,,,,,1,,,,,,,,,,,St. Gallen,,,,,,,,,,,,,,,,,,,,Super League,,,,,,,,2.15,,,3.67,3.69,,,,,,,,,,,,2.12,3.67,3.62,,,,D,,,,,,,,,,,,,2012/2013,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,
,,,,,,,,,,2,,,,,,,,,,,,,,,,,,5.48,,,3.81,1.58,,,Luzern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/07/2012,,,,,,,,,,,,,,,,,2,,,,,,,,,,,Basel,,,,,,,,,,,,,,,,,,,,Super League,,,,,,,,6.5,,,4.2,1.7,,,,,,,,,,,,5.64,3.87,1.69,,,,D,,,,,,,,,,,,,2012/2013,18:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2.73,,,3.19,2.51,,,St. Gallen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/07/2012,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Lausanne,,,,,,,,,,,,,,,,,,,,Super League,,,,,,,,3.2,,,3.52,2.71,,,,,,,,,,,,2.68,3.52,2.71,,,,A,,,,,,,,,,,,,2012/2013,18:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,4.87,,,3.52,1.7,,,Servette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/07/2012,,,,,,,,,,,,,,,,,1,,,,,,,,,,,Sion,,,,,,,,,,,,,,,,,,,,Super League,,,,,,,,5.5,,,3.8,1.8,,,,,,,,,,,,5.05,3.68,1.8,,,,H,,,,,,,,,,,,,2012/2013,12:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,6.27,,,4.11,1.48,,,Grasshoppers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/07/2012,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Young Boys,,,,,,,,,,,,,,,,,,,,Super League,,,,,,,,7.0,,,4.57,1.54,,,,,,,,,,,,6.48,4.55,1.53,,,,A,,,,,,,,,,,,,2012/2013,12:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,
,,,,,,,,,,2,,,,,,,,,,,,,,,,,,4.58,,,3.49,1.74,,,Thun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/07/2012,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Zurich,,,,,,,,,,,,,,,,,,,,Super League,,,,,,,,5.42,,,3.82,1.85,,,,,,,,,,,,5.42,3.82,1.72,,,,A,,,,,,,,,,,,,2012/2013,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,
